id,domain,duration,university,fees,cgpa,ielts,independent_scholarship,university_scholarship
1830,Sport and Exercise Biomechanics,12,Leeds Beckett University,11665,2.2,6.5,1,0
1831,Reproduction and Development,12,University of Bristol,33600,2.1,6.5,1,1
1832,Laws with Placement Year,24,University of Hertfordshire,17950,2.2,6,0,0
1833,Music Production and Audio Cultures,12,University of York,29400,2.1,0,1,0
1834,Biological Data Science,12,University of Dundee,21900,2.1,0,1,0
1835,International Management - Pre-Master Programme,12,Loughborough University,23280,0,0,0,1
1836,Medical Education,12,Cardiff University,5900,0,0,0,1
1837,Computer Science (Online),30,University of Liverpool,6426,2.2,6.5,0,0
1838,International Financial Analysis,12,University of Glasgow,31860,2.1,6.5,0,0
1839,Quantity Surveying,12,Sheffield Hallam University,17205,2.2,6,0,0
1840,Social Work,12,University of Bath,22400,2.1,6.5,0,0
1841,Post Production Editing,12,Bournemouth University,17000,2.2,6.5,1,0
1842,Management with Communication (Professional Practice),18,University of Huddersfield,17900,2.1,7,1,1
1843,Physics,24,University of Portsmouth,19200,0,6.5,1,0
1844,Sport Business Management,12,Leeds Beckett University,17500,2.2,6.5,1,0
1845,Advanced Clinical Practice,36,University of York,7967,0,6.5,0,0
1846,Master of Law (International) - Part-time,24,"The University of Law, Postgraduate programmes",15100,2.2,0,1,1
1847,Flood Risk Management,12,University of Hull,18000,2.1,6.5,0,0
1848,Middle Eastern History,12,University of St Andrews,25880,2.1,7,1,1
1849,Philosophy,12,University of Bristol,20700,2.1,6.5,1,1
1850,Genomic Medicine (Online),12,The University of Exeter,29700,2.2,6.5,0,1
1851,International Human Resource Management,12,The University of Exeter,30000,2.2,6.5,0,1
1852,English Studies,24,The University of Exeter,22600,2.1,7,1,0
1853,History,12,University of Glasgow,25290,2.1,7,1,0
1854,Japanese Studies,12,SOAS University of London,25320,2.2,6.5,1,1
1855,Diagnostic Radiography (Pre-Registration),24,Glasgow Caledonian University,18450,2.1,7,0,1
1856,Marketing with Industrial Placement,24,University of Kent,22700,2.2,0,1,1
1857,Digital Engineering Management,12,UCL,37500,2.1,7,0,1
1858,International Development,12,University of Birmingham,25290,2.2,6.5,1,0
1859,Architecture Design and Build,12,University of Nottingham,25250,2.1,6.5,0,0
1860,Master of Business Administration,12,Queen's University Belfast,28000,2.1,6.5,1,1
1861,Bar Practice Course (BPC) - full-time,8,"The University of Law, Postgraduate programmes",14000,0,7.5,1,0
1862,Real Estate (Work Experience),24,Sheffield Hallam University,17205,2.2,6.5,1,0
1863,Food Security,24,University of Liverpool,27800,2.1,0,0,0
1864,Big Data Analytics (Online),30,University of Liverpool,6426,2.2,6.5,1,0
1865,Cyber Security with Advanced Research,24,University of Hertfordshire,18950,0,6,0,1
1866,"Economics, Finance and Banking",12,University of Portsmouth,19200,0,6.5,0,0
1867,Economics,12,University of East Anglia,21200,2.2,6,1,1
1868,Special Education Needs Co-Ordination,9,Leeds Beckett University,2750,2.2,6,1,1
1869,Optoelectronic and Quantum Technologies,12,University of Bristol,34200,0,0,0,0
1870,Digital Marketing,12,University of Portsmouth,20800,2.2,0,1,0
1871,Computing Creative Industries - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,0
1872,Pancreatology,24,University of Liverpool,27800,2.1,0,1,1
1873,Master of Laws,12,Brunel University London,23000,2.2,6.5,1,0
1874,Sound Design,12,Leeds Beckett University,17500,2.2,6,0,0
1875,Applied Human Rights,12,Sheffield Hallam University,16385,2.2,6.5,0,1
1876,Leadership and Management - Extended,12,University of Wolverhampton,17000,0,6,0,0
1877,Interior Design,12,London Metropolitan University,18150,2.1,6,0,1
1878,Periodontology,36,University of Plymouth,8333,0,6.5,1,0
1879,Law and Society,12,University of Reading,22350,2.1,6.5,0,1
1880,Research Legal History,12,University of Reading,22350,2.1,6.5,0,0
1881,Inclusion (SLD-PMLD),36,University of Birmingham,7770,2.2,6.5,1,0
1882,Creative Writing - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,0
1883,Behavioural Economics and Data Science,12,University of East Anglia,21200,2.2,6.5,1,1
1884,Finance with Industrial Placement,24,University of Kent,20000,2.2,0,1,0
1885,Music Therapy,36,University of the West of England (UWE Bristol),8100,0,6.5,0,0
1886,Management - Operations Pathway,12,University of Birmingham,29340,2.1,7,1,1
1887,Automation Control and Robotics,12,Sheffield Hallam University,17205,0,6,0,0
1888,English Literature - Renaissance and Eighteenth-Century Literature,12,University of Liverpool,22400,2.1,0,0,0
1889,Transport Engineering and Planning,12,University of the West of England (UWE Bristol),17250,2.2,6.5,1,0
1890,Human Resource Management (Global),12,University of Hertfordshire,16450,0,6.5,1,0
1891,Creative Writing,24,University of Glasgow,25290,2.1,7,1,0
1892,Finance and Investments (Accounting and Financial Management),18,London School of Business and Finance,8000,2.2,0,1,0
1893,Finance,24,University of Greenwich,21000,2.2,6,0,0
1894,Human Rights Law,12,University of Birmingham,24120,0,0,1,0
1895,Master of Business Administration,12,University of Huddersfield,17900,2.2,6,1,1
1896,Cyber Security,12,Coventry University,20050,2.2,6.5,0,1
1897,Computer Science,24,The University of Hertfordshire Online,4500,0,0,1,1
1898,Clinical Pharmacy Practice (Secondary Care),36,University of Bath,0,0,0,0,1
1899,Data Science and Statistics Including Placement Year,24,University of Bath,31600,2.1,6.5,1,1
1900,Psychology in Education,12,University of York,23900,2.1,6.5,1,1
1901,Health Informatics,12,University of Central Lancashire (UCLan),933,0,6.5,1,1
1902,Project Management,16,University of Essex Online,6213,0,6.5,1,1
1903,"Healthcare Management, Leadership and Innovation",12,University of Plymouth,19800,0,6.5,0,0
1904,Forensic Anthropology,12,University of Dundee,20600,2.1,6.5,1,1
1905,Leadership of School Mental Health and Wellbeing,12,Leeds Beckett University,2750,2.2,6,1,0
1906,Sport Marketing,12,Loughborough University,30500,2.1,6.5,1,1
1907,Pre-Master’s Programme (PMP),12,ONCAMPUS Aston,20370,0,5,1,1
1908,Palestine Studies,12,The University of Exeter,24300,2.2,6.5,0,1
1909,Cardiology and Stroke,24,University of Hertfordshire,0,2.2,6.5,1,0
1910,Interior Design,12,University of Huddersfield,16000,2.2,6,0,0
1911,Gender and Politics,12,University of Bath,26500,2.1,6.5,0,0
1912,Electrical Power Engineering,12,Glasgow Caledonian University,17950,2.2,6,0,0
1913,Art History and Visual Culture,12,Richmond American University in London,15000,2.2,0,0,0
1914,"Prosperity, Innovation and Entrepreneurship",12,UCL,31100,2.1,7,0,0
1915,History,12,Coventry University,18600,0,6.5,0,0
1916,Sport and Exercise Science,12,Leeds Beckett University,11665,2.2,6.5,0,1
1917,Faith-Based Leadership,24,University of Birmingham,9000,2.1,6.5,0,0
1918,Entrepreneurship and Innovation Management,12,Loughborough University,30500,2.2,6.5,1,0
1919,Global Conflict and Cooperation,12,University of Birmingham,24120,2.1,6.5,0,0
1920,Artificial Intelligence,14,University of Wolverhampton,15950,2.2,6.5,1,1
1921,Management with International Business (Professional Practice),18,University of Huddersfield,17900,2.1,0,1,1
1922,Environmental Management,12,Kingston University,15800,2.2,6.5,1,0
1923,Health and Social Care Leadership,36,Sheffield Hallam University,3303,1,6.5,1,1
1924,Economics,12,University of Bath,22400,2.1,6.5,0,0
1925,Historical Archaeology,12,University of York,23900,2.1,6.5,0,1
1926,Health Research Methods,0,University of Birmingham,23310,2.1,6.5,0,1
1927,Philosophy and Religion,12,Bangor University,16500,2.2,0,0,1
1928,"Education: Learning, Pedagogy and Assessment",12,University of East Anglia,21200,2.1,6.5,1,0
1929,Play Therapy,24,Leeds Beckett University,0,0,6,0,1
1930,Music Education - Group Teaching and Leadership,12,University of York,23900,2.1,0,0,0
1931,Design for Cultural Commons,12,London Metropolitan University,5000,2.2,6,1,0
1932,International Human Rights Law,12,University of Liverpool,22400,2.1,0,1,1
1933,"Art, Philosophy and Cultural Institutions",12,University of Liverpool,22400,2.1,0,0,0
1934,Electrical Automotive Engineering,12,Coventry University,21250,2.2,6.5,0,1
1935,International Human Rights - Full-time,12,"The University of Law, Postgraduate programmes",17000,2.2,0,0,1
1936,Global Social and Political Thought,12,University of St Andrews,25880,2.1,7,0,0
1937,Teaching English to Speakers of Other Languages - TESOL (part-time),36,University of Dundee,21900,0,6.5,1,0
1938,Business Analytics - Pre-Master’s Programme,12,ONCAMPUS Aston,20370,0,5,0,1
1939,"Environmental Management (Waste, Energy, Water, Oil and Gas)",12,Glasgow Caledonian University,17950,2.2,6,0,0
1940,Social Innovation,12,Glasgow Caledonian University,15500,2.2,6,1,0
1941,Secondary Initial Teacher Education English,12,University of the West of England (UWE Bristol),15850,2.2,6.5,0,0
1942,Theology and Religious Studies,12,University of Glasgow,25290,2.1,7,1,1
1943,Foundations of Clinical Psychology,12,Bournemouth University,17500,2.1,7,0,1
1944,Renewable Energy Engineering,12,University of Central Lancashire (UCLan),16900,2.2,6.5,0,0
1945,Egyptology,12,University of Birmingham,21840,2.1,6.5,1,1
1946,Childhood and Youth,12,Bangor University,17000,2.2,0,1,0
1947,Marketing,12,University of Nottingham,28600,2.1,6.5,0,0
1948,Construction Project Management,24,University of South Wales,15100,2.2,6,0,1
1949,English by Research,18,University of South Wales,0,2.1,8,0,0
1950,International Security and Terrorism,12,University of Nottingham,22600,2.1,6.5,0,0
1951,Management,12,University of Huddersfield,16000,2.2,6,0,0
1952,Banking and Finance,12,University of Nottingham,30200,2.1,6.5,1,0
1953,Law General (AMIL) - Part-time,8,"The University of Law, Postgraduate programmes",5700,2.2,0,0,0
1954,Mathematics with Qualified Teacher Status (QTS),24,Loughborough University,0,1,6.5,0,1
1955,Diplomacy and International Relations,12,Loughborough University,24500,2.2,6.5,0,1
1956,Intellectual Property and the Digital Economy,12,University of Glasgow,27090,2.1,7,0,0
1957,Textile Conservation,24,University of Glasgow,27090,2.1,7,0,1
1958,Learning and People Development,24,Leeds Beckett University,3500,2.2,6,0,0
1959,Chinese-English Audiovisual Translation,12,University of Bristol,31300,0,0,1,0
1960,Advanced Building Performance Engineering,12,University of Nottingham,28600,2.1,6,0,1
1961,Food Security,12,University of Glasgow,30240,2.1,6.5,1,0
1962,Arts and Cultural Management,12,Sheffield Hallam University,16385,2.2,6,1,0
1963,Secondary Education - Physical Education with French,12,University of Wolverhampton,14950,0,6,0,1
1964,Coastal Engineering,12,University of Plymouth,19800,2.2,6.5,1,1
1965,History,12,University of Hull,12000,2.2,6.5,1,0
1966,International and European Electricity Markets,12,University of Dundee,21900,2.2,6.5,0,0
1967,Healthcare and Medicine,24,The University of Exeter,27500,2.1,7,0,1
1968,International Tourism Destination Management,12,Edinburgh Napier University,17090,2.2,6,1,1
1969,Pre-Master's Programme (PMP) - Humanities and Social Sciences,12,ONCAMPUS Southampton,24195,0,5.5,1,0
1970,Advanced Engineering Management - Construction Management,12,University of Birmingham,29340,2.1,6.5,1,1
1971,Psychiatry and Applied Psychology,48,University of Nottingham,52500,2.1,7,0,0
1972,Cancer Medicine,24,University of Liverpool,27800,2.1,0,1,0
1973,Public International Law,12,Bournemouth University,16750,2.2,6,1,0
1974,Early Years Teacher Birth to 5 leading to Early Years Teacher Status (EYTS),12,Kingston University,7000,2.2,6.5,0,0
1975,Agriculture and Rural Development,12,University of East Anglia,21200,2.1,6,1,0
1976,Design Administration,12,Cardiff University,28200,0,0,0,0
1977,"Risk, Crisis and Resilience Management",12,University of Portsmouth,17900,0,6.5,1,1
1978,Journalism and Media Communications with Placement Year,24,University of Hertfordshire,17950,2.2,6.5,0,0
1979,Digital Business - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,1,1
1980,Law and Technology,12,University of Westminster,15000,2.2,6.5,1,0
1981,Engineering Management with Industrial Practice,24,University of Greenwich,19975,2.2,6.5,0,1
1982,History by Research,18,University of South Wales,15950,2.1,6,1,0
1983,Geological and Environmental Hazards,12,University of Portsmouth,19200,2.2,6.5,0,0
1984,Graphic Design,12,University for the Creative Arts,18000,2.1,6,0,0
1985,Impact Evaluation for Global Development,12,University of East Anglia,21200,2.1,6,1,0
1986,Fine Arts,12,London Metropolitan University,18150,2.1,6,0,1
1987,Policy Research,12,University of Bristol,25000,2.1,6.5,1,1
1988,History of Ideas - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,0,0
1989,Teaching English to Speakers of Other Languages (TESOL),12,University of East Anglia,21200,2.1,6.5,0,0
1990,Business Analytics and Big Data,12,University of Liverpool,28500,2.1,0,0,0
1991,Ancestral Studies,12,University of Glasgow,25290,2.1,7,0,0
1992,"Security, Conflict and Human Rights",24,University of Bath,22400,2.1,6.5,0,0
1993,International Commercial Law,12,Coventry University,20050,2.2,6.5,0,0
1994,Banking and Finance,12,University of St Andrews,29950,2.1,7,1,0
1995,Advanced Professional Practice (Health and Social Care Professions),12,University of Plymouth,19000,2.2,6.5,1,0
1996,Advanced Chemical Engineering with Healthcare Technology,12,University of Birmingham,29340,2.1,6,0,0
1997,Engineering (Learning at Work),0,University of Portsmouth,12000,0,6,0,1
1998,Data Analytics for Government,36,University of Glasgow,5000,2.1,6.5,1,1
1999,Biomedical and Analytical Science,12,University of Huddersfield,17000,2.2,6,1,1
2000,Healthcare Management,18,Learna,5920,2.1,0,0,1
